id,asset,milestone_year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_inter_period,dual_max_storage_level_inter_period_limit,dual_min_storage_level_inter_period_limit
1,h2_storage,2030,5,1,1,,-0.5941377121350311,0.0,0.0
2,h2_storage,2030,5,2,2,,-0.5941377121350311,0.0,0.0
3,h2_storage,2030,5,3,3,,-0.5941377121350311,0.0,0.0
4,h2_storage,2030,5,4,4,,-0.5941377121350311,0.0,0.0
5,h2_storage,2030,5,5,5,,-0.16863098956019498,0.0,0.0
6,h2_storage,2030,5,6,6,,-0.16455816265081083,0.0,0.0
7,h2_storage,2030,5,7,7,,-0.16455816265081083,0.0,0.0
8,h2_storage,2030,5,8,8,,-0.16455816265081083,0.0,0.0
9,h2_storage,2030,5,9,9,,-0.16455816265081083,0.0,0.0
10,h2_storage,2030,5,10,10,,-0.16455816265081083,0.0,0.0
11,h2_storage,2030,5,11,11,,-0.16455816265081083,0.0,0.0
12,h2_storage,2030,5,12,12,,-0.16455816265081083,0.0,0.0
13,h2_storage,2030,5,13,13,,-0.16455816265081083,0.0,0.0
14,h2_storage,2030,5,14,14,,-0.16455816265081083,0.0,0.0
15,h2_storage,2030,5,15,15,,-0.16455816265081083,0.0,0.0
16,h2_storage,2030,5,16,16,,-0.16455816265081083,0.0,0.0
17,h2_storage,2030,5,17,17,,-0.16455816265081083,0.0,0.0
18,h2_storage,2030,5,18,18,,-0.16455816265081083,0.0,0.0
19,h2_storage,2030,5,19,19,,-0.16455816265081083,0.0,0.0
20,h2_storage,2030,5,20,20,,-0.16455816265081083,0.0,0.0
21,h2_storage,2030,5,21,21,,-0.16455816265081083,0.0,0.0
22,h2_storage,2030,5,22,22,,-0.16455816265081083,0.0,0.0
23,h2_storage,2030,5,23,23,,-0.16455816265081083,0.0,0.0
24,h2_storage,2030,5,24,24,,-0.16455816265081083,0.0,0.0
25,h2_storage,2030,5,25,25,,-0.16455816265081083,0.0,0.0
26,h2_storage,2030,5,26,26,,-0.16455816265081083,0.0,0.0
27,h2_storage,2030,5,27,27,,-0.16455816265081083,0.0,0.0
28,h2_storage,2030,5,28,28,,-0.16455816265081083,0.0,0.0
29,h2_storage,2030,5,29,29,,-0.16455816265081083,0.0,0.0
30,h2_storage,2030,5,30,30,,-0.16455816265081083,0.0,0.0
31,h2_storage,2030,5,31,31,,-0.16455816265081083,0.0,0.0
32,h2_storage,2030,5,32,32,,-0.16455816265081083,0.0,0.0
33,h2_storage,2030,5,33,33,,-0.16455816265081083,0.0,0.0
34,h2_storage,2030,5,34,34,,-0.16455816265081083,0.0,0.0
