id,asset,milestone_year,scenario,period_block_start,period_block_end,solution
1,h2_storage,2030,1,1,1,0.12712350963252972
2,h2_storage,2030,1,2,2,0.30463804195333655
3,h2_storage,2030,1,3,3,0.3894467300634275
4,h2_storage,2030,1,4,4,0.38356661274186366
5,h2_storage,2030,1,5,5,0.35027409641662677
6,h2_storage,2030,1,6,6,0.30795718615373197
7,h2_storage,2030,1,7,7,0.2614097131045743
8,h2_storage,2030,1,8,8,0.20583316728775972
9,h2_storage,2030,1,9,9,0.1850042851679379
10,h2_storage,2030,1,10,10,0.14715040105618596
11,h2_storage,2030,1,11,11,0.09001624587683521
12,h2_storage,2030,1,12,12,0.049366998356723785
13,h2_storage,2030,1,13,13,0.029014544078885027
14,h2_storage,2030,1,14,14,0.02273015794636035
15,h2_storage,2030,1,15,15,0.0
16,h2_storage,2030,1,16,16,0.11141133948785194
17,h2_storage,2030,1,17,17,0.19626365066029952
18,h2_storage,2030,1,18,18,0.32504485552355233
19,h2_storage,2030,1,19,19,0.32229679994894633
20,h2_storage,2030,1,20,20,0.27182989367184923
21,h2_storage,2030,1,21,21,0.27182989367184923
22,h2_storage,2030,1,22,22,0.35854575145006296
23,h2_storage,2030,1,23,23,0.5182288421631973
24,h2_storage,2030,1,24,24,0.5825051336403717
25,h2_storage,2030,1,25,25,0.6546842271090783
26,h2_storage,2030,1,26,26,0.6082423088352742
27,h2_storage,2030,1,27,27,0.5709894837876391
28,h2_storage,2030,1,28,28,0.5387432638725761
29,h2_storage,2030,1,29,29,0.6852483516211829
30,h2_storage,2030,1,30,30,0.7144956576931747
31,h2_storage,2030,1,31,31,0.862806418931126
32,h2_storage,2030,1,32,32,0.8341198492763394
33,h2_storage,2030,1,33,33,0.9018399463273656
34,h2_storage,2030,1,34,34,0.9160722162832216
35,h2_storage,2030,1,35,35,0.92169687560387
36,h2_storage,2030,1,36,36,0.8957661540362143
37,h2_storage,2030,1,37,37,0.9242266286314138
38,h2_storage,2030,1,38,38,1.0547135310346754
39,h2_storage,2030,1,39,39,1.306839995955915
40,h2_storage,2030,1,40,40,1.250265754653035
41,h2_storage,2030,1,41,41,0.9016372882827272
42,h2_storage,2030,1,42,42,0.9325342613843423
43,h2_storage,2030,1,43,43,0.9658668307299771
44,h2_storage,2030,1,44,44,1.0180785342131415
45,h2_storage,2030,1,45,45,0.8274269609600904
46,h2_storage,2030,1,46,46,0.7802802507572653
47,h2_storage,2030,1,47,47,0.8055582792154469
48,h2_storage,2030,1,48,48,0.5203451451642283
49,h2_storage,2030,1,49,49,0.4993093768840028
50,h2_storage,2030,1,50,50,0.6585520120104797
51,h2_storage,2030,1,51,51,0.8140522623482283
52,h2_storage,2030,1,52,52,0.9893679737517005
53,h2_storage,2030,1,53,53,1.24361499301676
54,h2_storage,2030,1,54,54,1.2533018174023134
55,h2_storage,2030,1,55,55,1.269484503666858
56,h2_storage,2030,1,56,56,1.401323189894645
57,h2_storage,2030,1,57,57,1.6083088140610846
58,h2_storage,2030,1,58,58,1.5614608392109064
59,h2_storage,2030,1,59,59,1.6170710686787229
60,h2_storage,2030,1,60,60,1.7064470415063657
61,h2_storage,2030,1,61,61,1.8347289994270946
62,h2_storage,2030,1,62,62,1.9647356456322642
63,h2_storage,2030,1,63,63,2.0696520013553483
64,h2_storage,2030,1,64,64,2.124138871324063
65,h2_storage,2030,1,65,65,2.1629582319498475
66,h2_storage,2030,1,66,66,2.2130863308618314
67,h2_storage,2030,1,67,67,2.2476394033062705
68,h2_storage,2030,1,68,68,2.3622128721911095
69,h2_storage,2030,1,69,69,2.542904546640467
70,h2_storage,2030,1,70,70,2.5111549238547517
71,h2_storage,2030,1,71,71,2.557079904121487
72,h2_storage,2030,1,72,72,2.51417857960237
73,h2_storage,2030,1,73,73,2.535784093356489
74,h2_storage,2030,1,74,74,2.575417013901005
75,h2_storage,2030,1,75,75,2.4997243940663494
76,h2_storage,2030,1,76,76,2.5294725773627467
77,h2_storage,2030,1,77,77,2.6775679631052456
78,h2_storage,2030,1,78,78,2.8962751713408084
79,h2_storage,2030,1,79,79,3.0666722122484025
80,h2_storage,2030,1,80,80,3.092403581387676
81,h2_storage,2030,1,81,81,3.005738028521331
82,h2_storage,2030,1,82,82,2.975735979326635
83,h2_storage,2030,1,83,83,2.916128565980139
84,h2_storage,2030,1,84,84,2.8003683093281144
85,h2_storage,2030,1,85,85,2.6874637592375055
86,h2_storage,2030,1,86,86,2.640190861620888
87,h2_storage,2030,1,87,87,2.656499450228228
88,h2_storage,2030,1,88,88,2.7200612050444932
89,h2_storage,2030,1,89,89,2.956730720506729
90,h2_storage,2030,1,90,90,3.2060690839446186
91,h2_storage,2030,1,91,91,3.3319554647474043
92,h2_storage,2030,1,92,92,3.3447878210631803
93,h2_storage,2030,1,93,93,3.345915594631881
94,h2_storage,2030,1,94,94,3.3724800266728154
95,h2_storage,2030,1,95,95,3.338283364016696
96,h2_storage,2030,1,96,96,3.225078462221318
97,h2_storage,2030,1,97,97,3.1187323483289777
98,h2_storage,2030,1,98,98,2.992955314917205
99,h2_storage,2030,1,99,99,2.9892521509675554
100,h2_storage,2030,1,100,100,2.9756677924644057
101,h2_storage,2030,1,101,101,2.8870792156211857
102,h2_storage,2030,1,102,102,2.7736256833842545
103,h2_storage,2030,1,103,103,2.7736256833842545
104,h2_storage,2030,1,104,104,2.8017483986762035
105,h2_storage,2030,1,105,105,2.790797504428642
106,h2_storage,2030,1,106,106,2.7414453089572883
107,h2_storage,2030,1,107,107,2.757821425370273
108,h2_storage,2030,1,108,108,2.7594139605231027
109,h2_storage,2030,1,109,109,2.7594139605231027
110,h2_storage,2030,1,110,110,2.7533130221373163
111,h2_storage,2030,1,111,111,2.743699420009949
112,h2_storage,2030,1,112,112,2.7498329358190388
113,h2_storage,2030,1,113,113,2.75873687394545
114,h2_storage,2030,1,114,114,2.873844120370872
115,h2_storage,2030,1,115,115,2.875540685725788
116,h2_storage,2030,1,116,116,2.9181364597251473
117,h2_storage,2030,1,117,117,2.8884889856760716
118,h2_storage,2030,1,118,118,2.8792018579386323
119,h2_storage,2030,1,119,119,2.905048475784478
120,h2_storage,2030,1,120,120,2.8963936674898636
121,h2_storage,2030,1,121,121,2.8540210167032036
