id,asset,milestone_year,scenario,period_block_start,period_block_end,solution
1,h2_storage,2030,1,1,1,0.0730616807235037
2,h2_storage,2030,1,2,2,0.1461233614470074
3,h2_storage,2030,1,3,3,0.2191850421705111
4,h2_storage,2030,1,4,4,0.2191850421705111
5,h2_storage,2030,1,5,5,0.2922467228940148
6,h2_storage,2030,1,6,6,0.36530840361751854
7,h2_storage,2030,1,7,7,0.43837008434102226
8,h2_storage,2030,1,8,8,0.5114317650645259
9,h2_storage,2030,1,9,9,0.5844934457880296
10,h2_storage,2030,1,10,10,0.5844934457880296
11,h2_storage,2030,1,11,11,0.5844934457880296
12,h2_storage,2030,1,12,12,0.5844934457880296
13,h2_storage,2030,1,13,13,0.5844934457880296
14,h2_storage,2030,1,14,14,0.6575551265115334
15,h2_storage,2030,1,15,15,0.7306168072350371
16,h2_storage,2030,1,16,16,0.7306168072350371
17,h2_storage,2030,1,17,17,0.7306168072350371
18,h2_storage,2030,1,18,18,0.7306168072350371
19,h2_storage,2030,1,19,19,0.7306168072350371
20,h2_storage,2030,1,20,20,0.7306168072350371
21,h2_storage,2030,1,21,21,0.8036784879585408
22,h2_storage,2030,1,22,22,0.8767401686820445
23,h2_storage,2030,1,23,23,0.8767401686820445
24,h2_storage,2030,1,24,24,0.9498018494055482
25,h2_storage,2030,1,25,25,1.0228635301290518
26,h2_storage,2030,1,26,26,1.0959252108525555
27,h2_storage,2030,1,27,27,1.0959252108525555
28,h2_storage,2030,1,28,28,1.168986891576059
29,h2_storage,2030,1,29,29,1.2420485722995627
30,h2_storage,2030,1,30,30,1.3151102530230663
31,h2_storage,2030,1,31,31,1.3881719337465699
32,h2_storage,2030,1,32,32,1.4612336144700735
33,h2_storage,2030,1,33,33,1.534295295193577
34,h2_storage,2030,1,34,34,1.534295295193577
35,h2_storage,2030,1,35,35,1.6073569759170807
36,h2_storage,2030,1,36,36,1.6804186566405843
37,h2_storage,2030,1,37,37,1.753480337364088
38,h2_storage,2030,1,38,38,1.753480337364088
39,h2_storage,2030,1,39,39,1.8265420180875915
40,h2_storage,2030,1,40,40,1.8996036988110951
41,h2_storage,2030,1,41,41,1.8996036988110951
42,h2_storage,2030,1,42,42,1.9726653795345988
43,h2_storage,2030,1,43,43,2.0457270602581024
44,h2_storage,2030,1,44,44,2.118788740981606
45,h2_storage,2030,1,45,45,2.118788740981606
46,h2_storage,2030,1,46,46,2.118788740981606
47,h2_storage,2030,1,47,47,2.19185042170511
48,h2_storage,2030,1,48,48,2.19185042170511
49,h2_storage,2030,1,49,49,2.264912102428614
50,h2_storage,2030,1,50,50,2.3379737831521177
51,h2_storage,2030,1,51,51,2.4110354638756215
52,h2_storage,2030,1,52,52,2.4840971445991253
53,h2_storage,2030,1,53,53,2.557158825322629
54,h2_storage,2030,1,54,54,2.630220506046133
55,h2_storage,2030,1,55,55,2.703282186769637
56,h2_storage,2030,1,56,56,2.7763438674931407
57,h2_storage,2030,1,57,57,2.8494055482166445
58,h2_storage,2030,1,58,58,2.9224672289401483
59,h2_storage,2030,1,59,59,2.995528909663652
60,h2_storage,2030,1,60,60,3.068590590387156
61,h2_storage,2030,1,61,61,3.14165227111066
62,h2_storage,2030,1,62,62,3.2147139518341636
63,h2_storage,2030,1,63,63,3.2877756325576675
64,h2_storage,2030,1,64,64,3.3608373132811713
65,h2_storage,2030,1,65,65,3.433898994004675
66,h2_storage,2030,1,66,66,3.506960674728179
67,h2_storage,2030,1,67,67,3.580022355451683
68,h2_storage,2030,1,68,68,3.6530840361751866
69,h2_storage,2030,1,69,69,3.7261457168986905
70,h2_storage,2030,1,70,70,3.7261457168986905
71,h2_storage,2030,1,71,71,3.7261457168986905
72,h2_storage,2030,1,72,72,3.7992073976221943
73,h2_storage,2030,1,73,73,3.872269078345698
74,h2_storage,2030,1,74,74,3.945330759069202
75,h2_storage,2030,1,75,75,4.018392439792706
76,h2_storage,2030,1,76,76,4.091454120516209
77,h2_storage,2030,1,77,77,4.091454120516209
78,h2_storage,2030,1,78,78,4.091454120516209
79,h2_storage,2030,1,79,79,4.1645158012397125
80,h2_storage,2030,1,80,80,4.237577481963216
81,h2_storage,2030,1,81,81,4.310639162686719
82,h2_storage,2030,1,82,82,4.310639162686719
83,h2_storage,2030,1,83,83,4.383700843410223
84,h2_storage,2030,1,84,84,4.456762524133726
85,h2_storage,2030,1,85,85,4.456762524133726
86,h2_storage,2030,1,86,86,4.5298242048572295
87,h2_storage,2030,1,87,87,4.602885885580733
88,h2_storage,2030,1,88,88,4.602885885580733
89,h2_storage,2030,1,89,89,4.602885885580733
90,h2_storage,2030,1,90,90,4.675947566304236
91,h2_storage,2030,1,91,91,4.675947566304236
92,h2_storage,2030,1,92,92,4.675947566304236
93,h2_storage,2030,1,93,93,4.74900924702774
94,h2_storage,2030,1,94,94,4.74900924702774
