id,asset,milestone_year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_inter_period,dual_max_storage_level_inter_period_limit,dual_min_storage_level_inter_period_limit
1,h2_storage,2030,21,1,1,,-0.6017146540897892,0.0,0.0
2,h2_storage,2030,21,2,2,,-0.6017146540897892,0.0,0.0
3,h2_storage,2030,21,3,3,,-0.6017146540897892,0.0,0.0
4,h2_storage,2030,21,4,4,,-0.6017146540897892,0.0,0.0
5,h2_storage,2030,21,5,5,,-0.6017146540897892,0.0,0.0
6,h2_storage,2030,21,6,6,,-0.6017146540897892,0.0,0.0
7,h2_storage,2030,21,7,7,,-0.27202668066800906,0.0,0.0
8,h2_storage,2030,21,8,8,,-0.13646754007623746,0.0,0.0
9,h2_storage,2030,21,9,9,,-0.13646754007623746,0.0,0.0
10,h2_storage,2030,21,10,10,,-0.13646754007623746,0.0,0.0
11,h2_storage,2030,21,11,11,,-0.13646754007623746,0.0,0.0
12,h2_storage,2030,21,12,12,,-0.13646754007623746,0.0,0.0
13,h2_storage,2030,21,13,13,,-0.13646754007623746,0.0,0.0
14,h2_storage,2030,21,14,14,,-0.13646754007623746,0.0,0.0
15,h2_storage,2030,21,15,15,,-0.13646754007623746,0.0,0.0
16,h2_storage,2030,21,16,16,,-0.13646754007623746,0.0,0.0
17,h2_storage,2030,21,17,17,,-0.13646754007623746,0.0,0.0
18,h2_storage,2030,21,18,18,,-0.13646754007623746,0.0,0.0
19,h2_storage,2030,21,19,19,,-0.13646754007623746,0.0,0.0
20,h2_storage,2030,21,20,20,,-0.10799506708085624,0.0,0.0
21,h2_storage,2030,21,21,21,,-0.10799506708085624,0.0,0.0
22,h2_storage,2030,21,22,22,,-0.10799506708085624,0.0,0.0
23,h2_storage,2030,21,23,23,,-0.10799506708085624,0.0,0.0
24,h2_storage,2030,21,24,24,,-0.10799506708085624,0.0,0.0
25,h2_storage,2030,21,25,25,,-0.10799506708085624,0.0,0.0
26,h2_storage,2030,21,26,26,,-0.10799506708085624,0.0,0.0
27,h2_storage,2030,21,27,27,,-0.10799506708085624,0.0,0.0
28,h2_storage,2030,21,28,28,,-0.10799506708085624,0.0,0.0
29,h2_storage,2030,21,29,29,,-0.10799506708085624,0.0,0.0
30,h2_storage,2030,21,30,30,,-0.10799506708085624,0.0,0.0
31,h2_storage,2030,21,31,31,,-0.10799506708085624,0.0,0.0
32,h2_storage,2030,21,32,32,,-0.10799506708085624,0.0,0.0
33,h2_storage,2030,21,33,33,,-0.10799506708085624,0.0,0.0
34,h2_storage,2030,21,34,34,,-0.10799506708085624,0.0,0.0
35,h2_storage,2030,21,35,35,,-0.10799506708085624,0.0,0.0
36,h2_storage,2030,21,36,36,,-0.10799506708085624,0.0,0.0
37,h2_storage,2030,21,37,37,,-0.10799506708085624,0.0,0.0
38,h2_storage,2030,21,38,38,,-0.10799506708085624,0.0,0.0
39,h2_storage,2030,21,39,39,,-0.10799506708085624,0.0,0.0
40,h2_storage,2030,21,40,40,,-0.10799506708085624,0.0,0.0
41,h2_storage,2030,21,41,41,,-0.10799506708085624,0.0,0.0
42,h2_storage,2030,21,42,42,,-0.10799506708085624,0.0,0.0
43,h2_storage,2030,21,43,43,,-0.10799506708085624,0.0,0.0
44,h2_storage,2030,21,44,44,,-0.10799506708085624,0.0,0.0
45,h2_storage,2030,21,45,45,,-0.10799506708085624,0.0,0.0
46,h2_storage,2030,21,46,46,,-0.10799506708085624,0.0,0.0
47,h2_storage,2030,21,47,47,,-0.10799506708085624,0.0,0.0
48,h2_storage,2030,21,48,48,,-0.10799506708085624,0.0,0.0
49,h2_storage,2030,21,49,49,,-0.10799506708085624,0.0,0.0
50,h2_storage,2030,21,50,50,,-0.10799506708085624,0.0,0.0
51,h2_storage,2030,21,51,51,,-0.10799506708085624,0.0,0.0
52,h2_storage,2030,21,52,52,,-0.10799506708085624,0.0,0.0
53,h2_storage,2030,21,53,53,,-0.10799506708085624,0.0,0.0
54,h2_storage,2030,21,54,54,,-0.10799506708085624,0.0,0.0
55,h2_storage,2030,21,55,55,,-0.10799506708085624,0.0,0.0
56,h2_storage,2030,21,56,56,,-0.10799506708085624,0.0,0.0
57,h2_storage,2030,21,57,57,,-0.10799506708085624,0.0,0.0
58,h2_storage,2030,21,58,58,,-0.10799506708085624,0.0,0.0
59,h2_storage,2030,21,59,59,,-0.10799506708085624,0.0,0.0
60,h2_storage,2030,21,60,60,,-0.10799506708085624,0.0,0.0
61,h2_storage,2030,21,61,61,,-0.10799506708085624,0.0,0.0
62,h2_storage,2030,21,62,62,,-0.10799506708085624,0.0,0.0
63,h2_storage,2030,21,63,63,,-0.10799506708085624,0.0,0.0
64,h2_storage,2030,21,64,64,,-0.10799506708085624,0.0,0.0
65,h2_storage,2030,21,65,65,,-0.07717096855506815,0.0,0.0
66,h2_storage,2030,21,66,66,,-0.07717096855506815,0.0,0.0
67,h2_storage,2030,21,67,67,,-0.054314219025872426,0.0,0.0
68,h2_storage,2030,21,68,68,,-0.054314219025872426,0.0,0.0
69,h2_storage,2030,21,69,69,,-0.054314219025872426,0.0,0.0
70,h2_storage,2030,21,70,70,,-0.054314219025872426,0.0,0.0
71,h2_storage,2030,21,71,71,,-0.054314219025872426,0.0,0.0
72,h2_storage,2030,21,72,72,,-0.054314219025872426,0.0,0.0
73,h2_storage,2030,21,73,73,,-0.054314219025872426,0.0,0.0
74,h2_storage,2030,21,74,74,,-0.054314219025872426,0.0,0.0
75,h2_storage,2030,21,75,75,,-0.054314219025872426,0.0,0.0
76,h2_storage,2030,21,76,76,,-0.054314219025872426,0.0,0.0
77,h2_storage,2030,21,77,77,,-0.054314219025872426,0.0,0.0
78,h2_storage,2030,21,78,78,,-0.054314219025872426,0.0,0.0
79,h2_storage,2030,21,79,79,,-0.054314219025872426,0.0,0.0
80,h2_storage,2030,21,80,80,,-0.054314219025872426,0.0,0.0
81,h2_storage,2030,21,81,81,,-0.054314219025872426,0.0,0.0
82,h2_storage,2030,21,82,82,,-0.054314219025872426,0.0,0.0
83,h2_storage,2030,21,83,83,,-0.054314219025872426,0.0,0.0
84,h2_storage,2030,21,84,84,,-0.054314219025872426,0.0,0.0
85,h2_storage,2030,21,85,85,,-0.054314219025872426,0.0,0.0
86,h2_storage,2030,21,86,86,,-0.054314219025872426,0.0,0.0
87,h2_storage,2030,21,87,87,,-0.054314219025872426,0.0,0.0
88,h2_storage,2030,21,88,88,,-0.054314219025872426,0.0,0.0
89,h2_storage,2030,21,89,89,,-0.054314219025872426,0.0,0.0
90,h2_storage,2030,21,90,90,,-0.054314219025872426,0.0,0.0
91,h2_storage,2030,21,91,91,,-0.054314219025872426,0.0,0.0
92,h2_storage,2030,21,92,92,,-0.054314219025872426,0.0,0.0
93,h2_storage,2030,21,93,93,,-0.054314219025872426,0.0,0.0
94,h2_storage,2030,21,94,94,,-0.054314219025872426,0.0,0.0
95,h2_storage,2030,21,95,95,,-0.054314219025872426,0.0,0.0
96,h2_storage,2030,21,96,96,,-0.054314219025872426,0.0,0.0
97,h2_storage,2030,21,97,97,,-0.054314219025872426,0.0,0.0
98,h2_storage,2030,21,98,98,,-0.054314219025872426,0.0,0.0
99,h2_storage,2030,21,99,99,,-0.054314219025872426,0.0,0.0
100,h2_storage,2030,21,100,100,,-0.054314219025872426,0.0,0.0
101,h2_storage,2030,21,101,101,,-0.054314219025872426,0.0,0.0
102,h2_storage,2030,21,102,102,,-0.054314219025872426,0.0,0.0
103,h2_storage,2030,21,103,103,,-0.054314219025872426,0.0,0.0
104,h2_storage,2030,21,104,104,,-0.054314219025872426,0.0,0.0
105,h2_storage,2030,21,105,105,,-0.054314219025872426,0.0,0.0
106,h2_storage,2030,21,106,106,,-0.054314219025872426,0.0,0.0
107,h2_storage,2030,21,107,107,,-0.054314219025872426,0.0,0.0
108,h2_storage,2030,21,108,108,,-0.054314219025872426,0.0,0.0
109,h2_storage,2030,21,109,109,,-0.054314219025872426,0.0,0.0
110,h2_storage,2030,21,110,110,,-0.054314219025872426,0.0,0.0
111,h2_storage,2030,21,111,111,,-0.054314219025872426,0.0,0.0
112,h2_storage,2030,21,112,112,,-0.054314219025872426,0.0,0.0
113,h2_storage,2030,21,113,113,,-0.054314219025872426,0.0,0.0
114,h2_storage,2030,21,114,114,,-0.054314219025872426,0.0,0.0
115,h2_storage,2030,21,115,115,,-0.054314219025872426,0.0,0.0
116,h2_storage,2030,21,116,116,,-0.054314219025872426,0.0,0.0
117,h2_storage,2030,21,117,117,,-0.054314219025872426,0.0,0.0
118,h2_storage,2030,21,118,118,,-0.054314219025872426,0.0,0.0
119,h2_storage,2030,21,119,119,,-0.054314219025872426,0.0,0.0
120,h2_storage,2030,21,120,120,,-0.054314219025872426,0.0,0.0
121,h2_storage,2030,21,121,121,,-0.054314219025872426,0.0,0.0
122,h2_storage,2030,21,122,122,,-0.054314219025872426,0.0,0.0
123,h2_storage,2030,21,123,123,,-0.054314219025872426,0.0,0.0
124,h2_storage,2030,21,124,124,,-0.054314219025872426,0.0,0.0
125,h2_storage,2030,21,125,125,,-0.054314219025872426,0.0,0.0
126,h2_storage,2030,21,126,126,,-0.054314219025872426,0.0,0.0
127,h2_storage,2030,21,127,127,,-0.054314219025872426,0.0,0.0
128,h2_storage,2030,21,128,128,,-0.054314219025872426,0.0,0.0
129,h2_storage,2030,21,129,129,,-0.054314219025872426,0.0,0.0
130,h2_storage,2030,21,130,130,,-0.054314219025872426,0.0,0.0
131,h2_storage,2030,21,131,131,,-0.054314219025872426,0.0,0.0
132,h2_storage,2030,21,132,132,,-0.054314219025872426,0.0,0.0
133,h2_storage,2030,21,133,133,,-0.054314219025872426,0.0,0.0
134,h2_storage,2030,21,134,134,,-0.054314219025872426,0.0,0.0
135,h2_storage,2030,21,135,135,,-0.054314219025872426,0.0,0.0
136,h2_storage,2030,21,136,136,,-0.054314219025872426,0.0,0.0
137,h2_storage,2030,21,137,137,,-0.054314219025872426,0.0,0.0
138,h2_storage,2030,21,138,138,,-0.054314219025872426,0.0,0.0
139,h2_storage,2030,21,139,139,,-0.054314219025872426,0.0,0.0
140,h2_storage,2030,21,140,140,,-0.054314219025872426,0.0,0.0
141,h2_storage,2030,21,141,141,,-0.054314219025872426,0.0,0.0
142,h2_storage,2030,21,142,142,,-0.054314219025872426,0.0,0.0
143,h2_storage,2030,21,143,143,,-0.054314219025872426,0.0,0.0
144,h2_storage,2030,21,144,144,,-0.054314219025872426,0.0,0.0
145,h2_storage,2030,21,145,145,,-0.054314219025872426,0.0,0.0
146,h2_storage,2030,21,146,146,,-0.054314219025872426,0.0,0.0
147,h2_storage,2030,21,147,147,,-0.054314219025872426,0.0,0.0
148,h2_storage,2030,21,148,148,,-0.054314219025872426,0.0,0.0
149,h2_storage,2030,21,149,149,,-0.054314219025872426,0.0,0.0
150,h2_storage,2030,21,150,150,,-0.054314219025872426,0.0,0.0
151,h2_storage,2030,21,151,151,,-0.054314219025872426,0.0,0.0
152,h2_storage,2030,21,152,152,,-0.054314219025872426,0.0,0.0
153,h2_storage,2030,21,153,153,,-0.054314219025872426,0.0,0.0
154,h2_storage,2030,21,154,154,,-0.054314219025872426,0.0,0.0
155,h2_storage,2030,21,155,155,,-0.054314219025872426,0.0,0.0
156,h2_storage,2030,21,156,156,,-0.054314219025872426,0.0,0.0
157,h2_storage,2030,21,157,157,,-0.054314219025872426,0.0,0.0
158,h2_storage,2030,21,158,158,,-0.054314219025872426,0.0,0.0
159,h2_storage,2030,21,159,159,,-0.054314219025872426,0.0,0.0
160,h2_storage,2030,21,160,160,,-0.054314219025872426,0.0,0.0
161,h2_storage,2030,21,161,161,,-0.054314219025872426,0.0,0.0
162,h2_storage,2030,21,162,162,,-0.054314219025872426,0.0,0.0
163,h2_storage,2030,21,163,163,,-0.054314219025872426,0.0,0.0
164,h2_storage,2030,21,164,164,,-0.054314219025872426,0.0,0.0
165,h2_storage,2030,21,165,165,,-0.054314219025872426,0.0,0.0
