id,asset,milestone_year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_inter_period,dual_max_storage_level_inter_period_limit,dual_min_storage_level_inter_period_limit
1,h2_storage,2030,5,1,1,,-0.1423340803269075,0.0,0.0
2,h2_storage,2030,5,2,2,,-0.1423340803269075,0.0,0.0
3,h2_storage,2030,5,3,3,,-0.1423340803269075,0.0,0.0
4,h2_storage,2030,5,4,4,,-0.1423340803269075,0.0,0.0
5,h2_storage,2030,5,5,5,,-0.1423340803269075,0.0,0.0
6,h2_storage,2030,5,6,6,,-0.1423340803269075,0.0,0.0
7,h2_storage,2030,5,7,7,,-0.1423340803269075,0.0,0.0
8,h2_storage,2030,5,8,8,,-0.1423340803269075,0.0,0.0
9,h2_storage,2030,5,9,9,,-0.1423340803269075,0.0,0.0
10,h2_storage,2030,5,10,10,,-0.1423340803269075,0.0,0.0
11,h2_storage,2030,5,11,11,,-0.1423340803269075,0.0,0.0
12,h2_storage,2030,5,12,12,,-0.1423340803269075,0.0,0.0
13,h2_storage,2030,5,13,13,,-0.1423340803269075,0.0,0.0
14,h2_storage,2030,5,14,14,,-0.1423340803269075,0.0,0.0
15,h2_storage,2030,5,15,15,,-0.1423340803269075,0.0,0.0
16,h2_storage,2030,5,16,16,,-0.1423340803269075,0.0,0.0
17,h2_storage,2030,5,17,17,,-0.1423340803269075,0.0,0.0
18,h2_storage,2030,5,18,18,,-0.09044390214503117,0.0,0.0
19,h2_storage,2030,5,19,19,,-0.09044390214503117,0.0,0.0
20,h2_storage,2030,5,20,20,,-0.09044390214503117,0.0,0.0
21,h2_storage,2030,5,21,21,,-0.09044390214503117,0.0,0.0
22,h2_storage,2030,5,22,22,,-0.09044390214503117,0.0,0.0
23,h2_storage,2030,5,23,23,,-0.09044390214503117,0.0,0.0
24,h2_storage,2030,5,24,24,,-0.09044390214503117,0.0,0.0
25,h2_storage,2030,5,25,25,,-0.09044390214503117,0.0,0.0
26,h2_storage,2030,5,26,26,,-0.09044390214503117,0.0,0.0
27,h2_storage,2030,5,27,27,,-0.09044390214503117,0.0,0.0
28,h2_storage,2030,5,28,28,,-0.09044390214503117,0.0,0.0
29,h2_storage,2030,5,29,29,,-0.09044390214503117,0.0,0.0
30,h2_storage,2030,5,30,30,,-0.09044390214503117,0.0,0.0
31,h2_storage,2030,5,31,31,,-0.09044390214503117,0.0,0.0
32,h2_storage,2030,5,32,32,,-0.09044390214503117,0.0,0.0
33,h2_storage,2030,5,33,33,,-0.09044390214503117,0.0,0.0
34,h2_storage,2030,5,34,34,,-0.09044390214503117,0.0,0.0
35,h2_storage,2030,5,35,35,,-0.09044390214503117,0.0,0.0
36,h2_storage,2030,5,36,36,,-0.09044390214503117,0.0,0.0
37,h2_storage,2030,5,37,37,,-0.09044390214503117,0.0,0.0
38,h2_storage,2030,5,38,38,,-0.09044390214503117,0.0,0.0
39,h2_storage,2030,5,39,39,,-0.09044390214503117,0.0,0.0
40,h2_storage,2030,5,40,40,,-0.09044390214503117,0.0,0.0
41,h2_storage,2030,5,41,41,,-0.09044390214503117,0.0,0.0
42,h2_storage,2030,5,42,42,,-0.04899082823041687,0.0,0.0
43,h2_storage,2030,5,43,43,,-0.04899082823041687,0.0,0.0
44,h2_storage,2030,5,44,44,,-0.04899082823041687,0.0,0.0
45,h2_storage,2030,5,45,45,,-0.04899082823041687,0.0,0.0
46,h2_storage,2030,5,46,46,,-0.04899082823041687,0.0,0.0
47,h2_storage,2030,5,47,47,,-0.04899082823041687,0.0,0.0
48,h2_storage,2030,5,48,48,,-0.04899082823041687,0.0,0.0
49,h2_storage,2030,5,49,49,,-0.04899082823041687,0.0,0.0
50,h2_storage,2030,5,50,50,,-0.04899082823041687,0.0,0.0
51,h2_storage,2030,5,51,51,,-0.04899082823041687,0.0,0.0
52,h2_storage,2030,5,52,52,,-0.04899082823041687,0.0,0.0
53,h2_storage,2030,5,53,53,,-0.04899082823041687,0.0,0.0
54,h2_storage,2030,5,54,54,,-0.04899082823041687,0.0,0.0
55,h2_storage,2030,5,55,55,,-0.04899082823041687,0.0,0.0
56,h2_storage,2030,5,56,56,,-0.04899082823041687,0.0,0.0
57,h2_storage,2030,5,57,57,,-0.04899082823041687,0.0,0.0
